year,rank,score
2021,420.0,27.1
2021,423.0,27.0
2021,423.0,27.0
2021,425.0,26.9
2021,426.0,26.8
2021,426.0,26.8
2021,428.0,26.6
2021,428.0,26.6
2021,428.0,26.6
2021,431.0,26.5
2021,432.0,26.4
2021,432.0,26.4
2021,432.0,26.4
2021,432.0,26.4
2021,432.0,26.4
2021,437.0,26.2
2021,437.0,26.2
2021,439.0,26.0
2021,439.0,26.0
2021,439.0,26.0
2021,439.0,26.0
2021,443.0,25.9
2021,443.0,25.9
2021,443.0,25.9
2021,446.0,25.8
2021,446.0,25.8
2021,446.0,25.8
2021,449.0,25.7
2021,449.0,25.7
2021,451.0,25.6
2021,451.0,25.6
2021,451.0,25.6
2021,454.0,25.5
2021,454.0,25.5
2021,456.0,25.4
2021,456.0,25.4
2021,456.0,25.4
2021,456.0,25.4
2021,456.0,25.4
2021,456.0,25.4
2021,462.0,25.3
2021,462.0,25.3
2021,462.0,25.3
2021,465.0,25.2
2021,465.0,25.2
2021,465.0,25.2
2021,465.0,25.2
2021,465.0,25.2
2021,470.0,25.1
2021,470.0,25.1
2021,470.0,25.1
2021,470.0,25.1
2021,474.0,25.0
2021,474.0,25.0
2021,474.0,25.0
2021,477.0,24.8
2021,477.0,24.8
2021,477.0,24.8
2021,477.0,24.8
2021,477.0,24.8
2021,477.0,24.8
2021,483.0,24.7
2021,483.0,24.7
2021,485.0,24.6
2021,485.0,24.6
2021,485.0,24.6
2021,488.0,24.5
2021,488.0,24.5
2021,490.0,24.4
2021,490.0,24.4
2021,492.0,24.3
2021,493.0,24.2
2021,493.0,24.2
2021,493.0,24.2
2021,493.0,24.2
2021,493.0,24.2
2021,498.0,24.1
2021,499.0,23.9
2021,499.0,23.9
2021,499.0,23.9
2021,501.0,0.0
2021,501.0,0.0
2021,501.0,0.0
2021,501.0,0.0
2021,501.0,0.0
2021,501.0,0.0
2021,501.0,0.0
2021,501.0,0.0
2021,501.0,0.0
2021,501.0,0.0
2021,501.0,0.0
2021,511.0,0.0
2021,511.0,0.0
2021,511.0,0.0
2021,511.0,0.0
2021,511.0,0.0
2021,511.0,0.0
2021,511.0,0.0
2021,511.0,0.0
2021,511.0,0.0
2021,521.0,0.0
2021,521.0,0.0
2021,521.0,0.0
2021,521.0,0.0
2021,521.0,0.0
2021,521.0,0.0
2021,521.0,0.0
2021,521.0,0.0
2021,521.0,0.0
2021,531.0,0.0
2021,531.0,0.0
2021,531.0,0.0
2021,531.0,0.0
2021,531.0,0.0
2021,531.0,0.0
2021,531.0,0.0
2021,531.0,0.0
2021,531.0,0.0
2021,531.0,0.0
2021,531.0,0.0
2021,541.0,0.0
2021,541.0,0.0
2021,541.0,0.0
2021,541.0,0.0
2021,541.0,0.0
2021,541.0,0.0
2021,541.0,0.0
2021,541.0,0.0
2021,541.0,0.0
2021,541.0,0.0
2021,551.0,0.0
2021,551.0,0.0
2021,551.0,0.0
2021,551.0,0.0
2021,551.0,0.0
2021,551.0,0.0
2021,551.0,0.0
2021,551.0,0.0
2021,551.0,0.0
2021,551.0,0.0
2021,551.0,0.0
2021,561.0,0.0
2021,561.0,0.0
2021,561.0,0.0
2021,561.0,0.0
2021,561.0,0.0
2021,561.0,0.0
2021,561.0,0.0
2021,561.0,0.0
2021,571.0,0.0
2021,571.0,0.0
2021,571.0,0.0
2021,571.0,0.0
2021,571.0,0.0
2021,571.0,0.0
2021,571.0,0.0
2021,571.0,0.0
2021,571.0,0.0
2021,571.0,0.0
2021,571.0,0.0
2021,581.0,0.0
2021,581.0,0.0
2021,581.0,0.0
2021,581.0,0.0
2021,581.0,0.0
2021,581.0,0.0
2021,581.0,0.0
2021,581.0,0.0
2021,581.0,0.0
2021,591.0,0.0
2021,591.0,0.0
2021,591.0,0.0
2021,591.0,0.0
2021,591.0,0.0
2021,591.0,0.0
2021,591.0,0.0
2021,591.0,0.0
2021,591.0,0.0
2021,591.0,0.0
2021,591.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,601.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,651.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,701.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,751.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,801.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,,0.0
2021,1001.0,0.0
2021,,0.0
2021,,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,,0.0
2021,1001.0,0.0
2021,,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,,0.0
2021,1001.0,0.0
2021,,0.0
2021,1001.0,0.0
2021,,0.0
2021,,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,,0.0
2021,,0.0
2021,,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,,0.0
2021,,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,,0.0
2021,1001.0,0.0
2021,,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,,0.0
2021,1001.0,0.0
2021,,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,1001.0,0.0
2021,,0.0
2021,1001.0,0.0
2021,,0.0
2021,1001.0,0.0
2021,1001.0,0.0
