university,year,rank,score
Massachusetts Institute of Technology (MIT) ,2017,1,100.0
Stanford University,2017,2,98.7
Harvard University,2017,3,98.3
University of Cambridge,2017,4,97.2
California Institute of Technology (Caltech),2017,5,96.9
University of Oxford,2017,6,96.8
UCL,2017,7,95.6
ETH Zurich - Swiss Federal Institute of Technology,2017,8,94.2
Imperial College London,2017,9,94.1
University of Chicago,2017,10,93.0
Princeton University,2017,11,92.8
National University of Singapore (NUS),2017,12,91.5
"Nanyang Technological University, Singapore (NTU)",2017,13,91.4
EPFL,2017,14,91.1
Yale University,2017,15,90.9
Cornell University,2017,16,90.1
Johns Hopkins University,2017,17,89.3
University of Pennsylvania,2017,18,89.0
The University of Edinburgh,2017,19,88.9
Columbia University,2017,20,88.6
King's College London,2017,21,87.7
The Australian National University,2017,22,87.3
University of Michigan-Ann Arbor,2017,23,86.4
Tsinghua University,2017,24,86.0
Duke University,2017,24,86.0
Northwestern University,2017,26,85.7
The University of Hong Kong,2017,27,85.4
"University of California, Berkeley (UCB)",2017,28,85.2
The University of Manchester,2017,29,84.8
McGill University,2017,30,84.1
"University of California, Los Angeles (UCLA)",2017,31,84.0
University of Toronto,2017,32,83.8
"Ecole normale supérieure, Paris",2017,33,82.9
The University of Tokyo,2017,34,82.6
Seoul National University,2017,35,82.1
The Hong Kong University of Science and Technology,2017,36,81.8
Kyoto University,2017,37,81.7
The London School of Economics and Political Science (LSE),2017,37,81.7
Peking University,2017,39,81.3
"University of California, San Diego (UCSD)",2017,40,80.6
University of Bristol,2017,41,79.6
The University of Melbourne,2017,42,79.5
Fudan University,2017,43,79.4
The Chinese University of Hong Kong (CUHK),2017,44,78.1
University of British Columbia,2017,45,78.0
The University of Sydney,2017,46,77.9
New York University (NYU),2017,46,77.9
KAIST - Korea Advanced Institute of Science & Technology,2017,46,77.9
The University of New South Wales (UNSW Sydney),2017,49,77.8
Brown University,2017,49,77.8
The University of Queensland,2017,51,77.6
The University of Warwick,2017,51,77.6
University of Wisconsin-Madison,2017,53,75.7
Ecole Polytechnique,2017,53,75.7
City University of Hong Kong,2017,55,75.4
Tokyo Institute of Technology (Tokyo Tech),2017,56,74.9
University of Amsterdam,2017,57,74.3
Carnegie Mellon University,2017,58,74.2
University of Washington,2017,59,73.9
Technical University of Munich,2017,60,72.4
Shanghai Jiao Tong University,2017,61,72.2
Delft University of Technology,2017,62,72.1
Osaka University,2017,63,71.7
University of Glasgow,2017,63,71.7
Monash University,2017,65,71.6
University of Illinois at Urbana-Champaign,2017,66,71.4
University of Texas at Austin,2017,67,70.7
Ludwig-Maximilians-Universität München,2017,68,70.2
National Taiwan University (NTU),2017,68,70.2
University of Copenhagen,2017,68,70.2
Georgia Institute of Technology,2017,71,69.8
Ruprecht-Karls-Universität Heidelberg,2017,72,69.7
Lund University,2017,73,69.1
Durham University,2017,74,68.8
Tohoku University,2017,75,68.7
University of Nottingham,2017,75,68.7
University of St Andrews,2017,77,68.2
"University of North Carolina, Chapel Hill",2017,78,68.1
KU Leuven,2017,79,67.9
University of Zurich,2017,80,67.8
The University of Auckland,2017,81,67.3
University of Birmingham,2017,82,67.2
Pohang University of Science And Technology (POSTECH),2017,83,67.0
The University of Sheffield,2017,84,66.9
Universidad de Buenos Aires (UBA),2017,85,65.8
"University of California, Davis",2017,85,65.8
University of Southampton,2017,87,65.6
The Ohio State University,2017,88,65.4
Boston University,2017,89,65.2
Rice University,2017,90,65.0
University of Helsinki,2017,91,64.7
Purdue University,2017,92,64.5
University of Leeds,2017,93,64.2
University of Alberta,2017,94,64.0
Pennsylvania State University,2017,95,63.6
University of Geneva,2017,95,63.6
KTH Royal Institute of Technology ,2017,97,63.1
Uppsala University,2017,98,62.8
Korea University,2017,98,62.8
"Trinity College Dublin, The University of Dublin",2017,98,62.8
"KIT, Karlsruhe Institute of Technology",2017,98,62.8
Leiden University,2017,102,62.7
The University of Western Australia,2017,102,62.7
Utrecht University,2017,104,62.4
University of Science and Technology of China,2017,104,62.4
Sungkyunkwan University(SKKU),2017,106,62.2
Washington University in St. Louis,2017,106,62.2
Lomonosov Moscow State University,2017,108,62.1
Technical University of Denmark,2017,109,61.8
Zhejiang University,2017,110,61.6
The Hong Kong Polytechnic University,2017,111,61.4
Yonsei University,2017,112,60.5
University of Oslo,2017,113,60.0
University of Groningen,2017,113,60.0
Nanjing University,2017,115,59.6
Nagoya University,2017,115,59.6
Aarhus University,2017,117,59.5
"University of California, Santa Barbara (UCSB)",2017,118,59.4
Wageningen University & Research,2017,119,59.1
Universidade de São Paulo,2017,120,59.0
Humboldt-Universität zu Berlin,2017,121,58.9
Eindhoven University of Technology,2017,121,58.9
Freie Universitaet Berlin,2017,123,58.7
Queen Mary University of London,2017,123,58.7
The University of Adelaide,2017,125,58.6
Université de Montréal ,2017,126,58.5
University of York,2017,127,58.4
Universidad Nacional Autónoma de México  (UNAM),2017,128,58.3
Lancaster University,2017,129,57.9
Hokkaido University,2017,130,57.8
Ghent University,2017,131,57.6
"University of Maryland, College Park",2017,131,57.6
Universiti Malaya (UM),2017,133,57.1
Aalto University,2017,133,57.1
Kyushu University,2017,135,56.8
University of Southern California,2017,136,56.7
University of Minnesota Twin Cities,2017,137,56.4
University of Lausanne,2017,138,56.3
Chalmers University of Technology,2017,139,56.1
Cardiff University,2017,140,55.7
Université Pierre et Marie Curie (UPMC),2017,141,55.6
University of Basel,2017,141,55.6
University of Aberdeen,2017,141,55.6
Erasmus University Rotterdam ,2017,144,55.5
University of Pittsburgh,2017,145,55.1
RWTH Aachen University,2017,146,55.0
Pontificia Universidad Católica de Chile (UC),2017,147,54.7
The Hebrew University of Jerusalem,2017,148,54.2
McMaster University,2017,149,54.1
Emory University,2017,149,54.1
National Tsing Hua University,2017,151,53.9
University of Waterloo,2017,152,53.8
Indian Institute of Science,2017,152,53.8
Université catholique de Louvain (UCLouvain),2017,154,53.4
University of Vienna,2017,155,53.3
"University of California, Irvine",2017,156,53.2
University of Liverpool,2017,157,53.1
Dartmouth College,2017,158,53.0
University of Bath,2017,159,52.7
Universitat de Barcelona,2017,160,52.6
Texas A&M University,2017,160,52.6
Michigan State University,2017,160,52.6
Albert-Ludwigs-Universitaet Freiburg,2017,163,52.2
Technische Universität Berlin (TU Berlin),2017,164,52.1
The University of Exeter,2017,164,52.1
CentraleSupélec,2017,164,52.1
Eberhard Karls Universität Tübingen,2017,167,51.9
Newcastle University,2017,168,51.8
University of Otago,2017,169,51.3
University of Colorado Boulder,2017,170,51.2
Hanyang University,2017,171,50.6
University of Virginia,2017,172,50.5
Maastricht University ,2017,173,50.3
National Chiao Tung University,2017,174,50.1
University of Reading,2017,175,50.0
University College Dublin,2017,176,49.7
University of Göttingen,2017,177,49.6
École Normale Supérieure de Lyon,2017,177,49.6
University of Bergen,2017,177,49.6
University of Twente,2017,177,49.6
University of Bern,2017,181,49.3
Vrije Universiteit Brussel (VUB),2017,182,48.9
Politecnico di Milano,2017,183,48.8
Technische Universität Wien,2017,183,48.8
University of Florida,2017,185,48.6
University of Rochester,2017,185,48.6
Indian Institute of Technology Delhi (IITD),2017,185,48.6
University of Illinois at Chicago (UIC),2017,187,48.4
University of Sussex,2017,187,48.4
King Fahd University of Petroleum & Minerals,2017,189,48.3
Radboud University ,2017,190,48.2
Universidade Estadual de Campinas (Unicamp),2017,191,48.0
University of Cape Town,2017,191,48.0
University of Technology Sydney,2017,193,47.8
Queen's University Belfast,2017,195,47.5
Stockholm University,2017,196,47.2
University of Calgary,2017,196,47.2
Western University,2017,198,47.1
Vrije Universiteit Amsterdam,2017,199,46.8
Universidad de Chile,2017,200,46.7
Waseda University,2017,201,46.5
Case Western Reserve University,2017,202,46.4
Universitat Autònoma de Barcelona,2017,203,46.3
Vanderbilt University,2017,203,46.3
University of Notre Dame,2017,203,46.3
Université Grenoble Alpes,2017,206,46.1
Tecnológico de Monterrey,2017,206,46.1
Alma Mater Studiorum - University of Bologna,2017,208,46.0
University of Antwerp,2017,209,45.8
Universidad Autónoma de Madrid,2017,210,45.7
Technische Universität Dresden,2017,210,45.7
Tel Aviv University,2017,212,45.6
Technion - Israel Institute of Technology,2017,213,45.5
University of Canterbury,2017,214,45.4
Georgetown University,2017,214,45.4
Keio University,2017,216,45.1
Universite libre de Bruxelles,2017,216,45.1
University of Wollongong,2017,218,44.7
Indian Institute of Technology Bombay (IITB),2017,219,44.6
Sciences Po ,2017,220,44.5
Université Paris-Sorbonne (Paris IV),2017,221,44.4
Arizona State University,2017,222,44.2
Sapienza University of Rome,2017,223,44.0
Queen's University at Kingston,2017,223,44.0
University of Tsukuba,2017,225,43.8
Simon Fraser University,2017,226,43.6
King Saud University,2017,227,43.4
Université Paris 1 Panthéon-Sorbonne ,2017,228,43.3
Victoria University of Wellington,2017,228,43.3
American University of Beirut (AUB),2017,228,43.3
Rheinische Friedrich-Wilhelms-Universität Bonn,2017,231,43.0
Universität Hamburg,2017,232,42.9
The University of Arizona,2017,233,42.8
University of Turku,2017,234,42.7
Royal Holloway University of London,2017,235,42.6
Al-Farabi Kazakh National University,2017,236,42.5
Loughborough University,2017,237,42.3
Tufts University,2017,238,42.2
Complutense University of Madrid,2017,239,42.1
University of Leicester,2017,239,42.1
National Cheng Kung University (NCKU),2017,241,42.0
Université Paris-Saclay,2017,241,42.0
National Taiwan University of Science and Technology (Taiwan Tech),2017,243,41.7
 University of Dundee,2017,244,41.6
"The University of Newcastle, Australia (UON)",2017,245,41.3
University of Navarra,2017,245,41.3
Macquarie University,2017,247,41.2
Technical University of Darmstadt,2017,247,41.2
Indian Institute of Technology Madras (IITM),2017,249,41.0
National University of Ireland Galway,2017,249,41.0
University of Massachusetts Amherst,2017,251,40.8
Chulalongkorn University,2017,252,40.6
RMIT University,2017,252,40.6
SOAS University of London ,2017,252,40.6
University of East Anglia (UEA),2017,252,40.6
University of Miami,2017,252,40.6
Beijing Normal University ,2017,257,40.4
Saint Petersburg State University,2017,258,40.1
Norwegian University of Science And Technology,2017,259,39.8
Université de Strasbourg,2017,260,39.6
University of Surrey,2017,261,39.5
Université Diderot  Paris 7,2017,262,39.4
Universität Stuttgart,2017,263,39.3
Goethe-University Frankfurt am Main,2017,264,39.2
University of Gothenburg,2017,264,39.2
Kyung Hee University,2017,264,39.2
ENS Paris-Saclay,2017,264,39.2
Ecole des Ponts ParisTech,2017,268,39.1
Universidad Nacional de Colombia,2017,269,38.9
Universiti Putra Malaysia (UPM),2017,270,38.8
"University of California, Riverside",2017,271,38.7
Universidad de los Andes,2017,272,38.5
Friedrich-Alexander-Universität Erlangen-Nürnberg,2017,272,38.5
University of Strathclyde,2017,272,38.5
Wuhan University,2017,275,38.2
Queensland University of Technology (QUT),2017,276,38.1
North Carolina State University,2017,277,38.0
Harbin Institute of Technology,2017,278,37.9
Hong Kong Baptist University,2017,278,37.9
Universidad Carlos III de Madrid (UC3M),2017,280,37.8
"Birkbeck, University of London",2017,280,37.8
Linköping University,2017,282,37.7
Mahidol University,2017,283,37.6
Universitat Pompeu Fabra (Barcelona),2017,283,37.6
University College Cork,2017,283,37.6
King Abdulaziz University (KAU),2017,283,37.6
Dalhousie University,2017,283,37.6
University of South Australia,2017,288,37.4
Universiti Teknologi Malaysia ,2017,288,37.4
University of St.Gallen (HSG),2017,288,37.4
Indiana University Bloomington,2017,291,37.3
University of Ottawa,2017,291,37.3
Novosibirsk State University,2017,291,37.3
Westfälische Wilhelms-Universität Münster ,2017,294,37.2
Umea University,2017,294,37.2
"University of California, Santa Cruz",2017,296,37.1
Sun Yat-sen University,2017,297,37.0
Hiroshima University,2017,297,37.0
Universität Innsbruck,2017,299,36.9
Boston College,2017,299,36.9
Rutgers University–New Brunswick,2017,301,36.8
Charles University,2017,302,36.7
Universiti Kebangsaan Malaysia (UKM),2017,302,36.7
Indian Institute of Technology Kanpur (IITK),2017,302,36.7
Politecnico di Torino,2017,305,36.4
Curtin University,2017,306,36.3
Bauman Moscow State Technical University,2017,306,36.3
Universidad Austral,2017,308,36.2
National Yang Ming University,2017,308,36.2
National Taiwan Normal University,2017,310,36.0
Pontificia Universidad Católica Argentina,2017,310,36.0
Rensselaer Polytechnic Institute,2017,310,36.0
Indian Institute of Technology Kharagpur (IIT-KGP),2017,313,35.9
"City, University of London",2017,314,35.8
Nankai University,2017,315,35.7
Tongji University,2017,315,35.7
Université de Liège,2017,315,35.7
Xi’an Jiaotong University,2017,318,35.6
Tampere University of Technology ,2017,319,35.5
Ben-Gurion University of The Negev,2017,320,35.4
Universidade Federal do Rio de Janeiro,2017,321,35.3
Universitat Politècnica de Catalunya · BarcelonaTech (UPC),2017,321,35.3
University of Porto,2017,323,35.2
University of Waikato,2017,324,35.1
Universitas Indonesia,2017,325,35.0
University of Victoria (UVic),2017,325,35.0
Université de Montpellier,2017,327,34.8
Heriot-Watt University,2017,327,34.8
Tokyo Medical and Dental University (TMDU),2017,329,34.7
University of Lisbon ,2017,330,34.6
Universiti Sains Malaysia (USM),2017,330,34.6
Tilburg University,2017,330,34.6
"Essex, University of",2017,330,34.6
Yeshiva University,2017,330,34.6
Ewha Womans University,2017,335,34.5
Griffith University,2017,336,34.4
Gwangju Institute of Science and Technology (GIST),2017,337,34.3
Università di Padova,2017,338,34.2
University of Jyväskylä,2017,338,34.2
Massey University,2017,340,34.1
James Cook University,2017,340,34.1
University at Buffalo SUNY,2017,342,34.0
Lincoln University ,2017,343,33.9
University of Hawaiʻi at Mānoa,2017,343,33.9
Brunel University London,2017,345,33.8
L.N. Gumilyov Eurasian National University (ENU),2017,345,33.8
University of Cologne,2017,347,33.6
University of Tartu,2017,347,33.6
University Ulm,2017,347,33.6
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),2017,350,33.4
MGIMO University,2017,350,33.4
Universität Konstanz,2017,352,33.2
Universidad de Belgrano,2017,352,33.2
Belarusian State University,2017,354,33.0
Deakin University,2017,355,32.9
"Université Paris-Dauphine, Université PSL",2017,356,32.8
Aston University,2017,358,32.7
University of Witwatersrand,2017,359,32.6
Oxford Brookes University,2017,359,32.6
Virginia Polytechnic Institute and State University,2017,361,32.4
Northeastern University,2017,361,32.4
George Washington University,2017,363,32.3
Universität Jena,2017,363,32.3
The American University in Cairo,2017,365,32.2
University of Warsaw ,2017,366,32.1
Universidade Nova de Lisboa,2017,366,32.1
University of Kent,2017,366,32.1
Kobe University,2017,369,32.0
University of Milan,2017,370,31.9
University of Tasmania,2017,370,31.9
Université Laval,2017,372,31.8
University of Kansas,2017,373,31.7
University of the Philippines,2017,374,31.5
Aalborg University,2017,374,31.5
"University of Colorado, Denver ",2017,374,31.5
Université Paris Descartes,2017,377,31.4
Tomsk State University,2017,377,31.4
University of Tromsø The Arctic University of Norway,2017,377,31.4
Dublin City University,2017,380,31.3
University of Texas Dallas,2017,380,31.3
University of Eastern Finland,2017,382,31.2
V. N. Karazin Kharkiv National University,2017,382,31.2
American University,2017,384,31.1
University of Stirling,2017,385,31.0
Colorado State University,2017,386,30.9
Chung-Ang University (CAU),2017,386,30.9
La Trobe University,2017,386,30.9
Beijing Institute of Technology,2017,389,30.8
"Stony Brook University, State University of New York",2017,390,30.7
Swansea University,2017,390,30.7
University of Southern Denmark (SDU),2017,390,30.7
University of Iowa,2017,393,30.6
Qatar University,2017,393,30.6
Stellenbosch University,2017,395,30.5
Washington State University,2017,395,30.5
National Sun Yat-sen University,2017,395,30.5
National Technical University of Athens,2017,395,30.5
Indian Institute of Technology Roorkee (IITR),2017,399,30.4
Leibniz University Hannover,2017,400,30.3
National Research Tomsk Polytechnic University,2017,400,30.3
Bandung Institute of Technology (ITB),2017,401,0.0
Brandeis University,2017,401,0.0
Illinois Institute of Technology,2017,401,0.0
Johannes Gutenberg Universität Mainz,2017,401,0.0
Khalifa University of Science and Technology,2017,401,0.0
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),2017,401,0.0
Taipei Medical University (TMU),2017,401,0.0
Universidad Externado de Colombia ,2017,401,0.0
Wake Forest University,2017,401,0.0
Aix-Marseille University,2017,411,0.0
Bilkent University,2017,411,0.0
Sogang University,2017,411,0.0
Bangor University,2017,411,0.0
Satbayev University,2017,411,0.0
National Central University,2017,411,0.0
HSE University,2017,411,0.0
Peter the Great St. Petersburg Polytechnic University,2017,411,0.0
United Arab Emirates University,2017,411,0.0
Universität Mannheim,2017,411,0.0
University of Delaware,2017,411,0.0
University of Oulu,2017,411,0.0
University of Utah,2017,411,0.0
Renmin (People's) University of China,2017,421,0.0
Julius-Maximilians-Universität Würzburg,2017,421,0.0
Iowa State University,2017,421,0.0
Christian-Albrechts-University zu Kiel,2017,421,0.0
"Goldsmiths, University of London",2017,421,0.0
Institut National des Sciences Appliquées de Lyon (INSA),2017,421,0.0
University of Connecticut,2017,421,0.0
University of Pisa,2017,431,0.0
Pontificia Universidad Javeriana,2017,431,0.0
Jagiellonian University,2017,431,0.0
Florida State University,2017,431,0.0
Taras Shevchenko National University of Kyiv,2017,431,0.0
The University of Georgia,2017,431,0.0
Beihang University (former BUAA),2017,431,0.0
HUFS - Hankuk (Korea) University of Foreign Studies ,2017,431,0.0
Sharif University of Technology,2017,431,0.0
Singapore Management University,2017,431,0.0
Universitat Politècnica de València,2017,431,0.0
Universität Bremen,2017,441,0.0
Huazhong University of Science and Technology,2017,441,0.0
University of Trento,2017,441,0.0
American University of Sharjah,2017,441,0.0
Auckland University of Technology (AUT),2017,441,0.0
Chang Gung University,2017,441,0.0
Dongguk University ,2017,441,0.0
Sabanci University,2017,441,0.0
Swinburne University of Technology,2017,441,0.0
Universidad de Palermo (UP),2017,441,0.0
"University of Maryland, Baltimore County",2017,441,0.0
University of Florence,2017,451,0.0
University of Coimbra,2017,451,0.0
Shanghai University,2017,451,0.0
Pusan National University,2017,451,0.0
York University,2017,451,0.0
Ruhr-Universität Bochum,2017,451,0.0
Xiamen University,2017,451,0.0
Koç University,2017,451,0.0
Oregon State University,2017,451,0.0
Sultan Qaboos University,2017,451,0.0
Universidade Federal do Rio Grande Do Sul ,2017,461,0.0
Université Paul Sabatier Toulouse III,2017,461,0.0
Karl-Franzens-Universitaet Graz,2017,461,0.0
Arabian Gulf University,2017,461,0.0
Bond University,2017,461,0.0
Concordia University,2017,461,0.0
University of New Mexico,2017,461,0.0
University of Oklahoma,2017,461,0.0
"The University of Tennessee, Knoxville",2017,461,0.0
Wayne State University,2017,461,0.0
Universidad de Santiago de Chile (USACH),2017,471,0.0
Universidad de Costa Rica,2017,471,0.0
Middle East Technical University,2017,471,0.0
Bogaziçi Üniversitesi,2017,471,0.0
Clark University,2017,471,0.0
Lappeenranta-Lahti University of Technology LUT,2017,471,0.0
East China University of Science and Technology,2017,471,0.0
Technische Universität Braunschweig,2017,471,0.0
Tokyo Metropolitan University,2017,471,0.0
University of Saskatchewan,2017,471,0.0
Pontificia Universidad Católica del Perú,2017,481,0.0
"University of Rome ""Tor Vergata""",2017,481,0.0
University of Naples - Federico II,2017,481,0.0
Hitotsubashi University,2017,481,0.0
Dalian University of Technology,2017,481,0.0
Indian Institute of Technology Guwahati (IITG),2017,481,0.0
Lehigh University,2017,481,0.0
Tianjin University,2017,481,0.0
Universidad de Zaragoza,2017,481,0.0
Vilnius University ,2017,481,0.0
Aristotle University of Thessaloniki,2017,491,0.0
Università Cattolica del Sacro Cuore,2017,491,0.0
Aberystwyth University,2017,491,0.0
Iran University of Science and Technology,2017,491,0.0
Jilin University,2017,491,0.0
The Catholic University of Korea ,2017,491,0.0
Saint Joseph University of Beirut (USJ) ,2017,491,0.0
University of Nebraska - Lincoln,2017,491,0.0
University of South Florida,2017,491,0.0
Yokohama City University,2017,491,0.0
Gadjah Mada University,2017,501,0.0
University of Delhi,2017,501,0.0
City University of New York,2017,501,0.0
University of Bordeaux,2017,501,0.0
Pontifícia Universidade Católica do Rio de Janeiro,2017,501,0.0
University of Granada,2017,501,0.0
Université du Québec,2017,501,0.0
Universität  Leipzig,2017,501,0.0
Université Claude Bernard Lyon 1,2017,501,0.0
Ateneo de Manila University,2017,501,0.0
UNESP,2017,501,0.0
Abo Akademi University,2017,501,0.0
Amirkabir University of Technology,2017,501,0.0
Jeonbuk National University,2017,501,0.0
Czech Technical University in Prague,2017,501,0.0
Drexel University,2017,501,0.0
Instituto Tecnológico de Buenos Aires (ITBA),2017,501,0.0
Abai Kazakh National Pedagogical University,2017,501,0.0
Kazan (Volga region) Federal University,2017,501,0.0
King Khalid University,2017,501,0.0
"Kingston University, London",2017,501,0.0
Martin-Luther-Universität Halle-Wittenberg,2017,501,0.0
Michigan Technological University,2017,501,0.0
Missouri University of Science and Technology,2017,501,0.0
Murdoch University,2017,501,0.0
Nagasaki University,2017,501,0.0
National Chung Hsing University,2017,501,0.0
National University of Sciences And Technology (NUST) Islamabad,2017,501,0.0
Okayama University,2017,501,0.0
Pontifícia Universidade Católica de São Paulo,2017,501,0.0
Sejong University ,2017,501,0.0
Shandong University,2017,501,0.0
Southeast University,2017,501,0.0
Tulane University,2017,501,0.0
Umm Al-Qura University ,2017,501,0.0
Universidad de San Andrés - UdeSA,2017,501,0.0
Universidade Federal de São Paulo,2017,501,0.0
University of Bayreuth,2017,501,0.0
Universität des Saarlandes,2017,501,0.0
Universität Regensburg,2017,501,0.0
University of Guelph,2017,501,0.0
University of Kentucky,2017,501,0.0
University of Limerick,2017,501,0.0
University of Macau,2017,501,0.0
University of Manitoba,2017,501,0.0
University of Mons ,2017,501,0.0
University of Szeged,2017,501,0.0
University of Tampere,2017,501,0.0
Universidad Nacional de La Plata (UNLP),2017,551,0.0
Chiang Mai University,2017,551,0.0
Universidade Federal de Minas Gerais      ,2017,551,0.0
Cairo University,2017,551,0.0
Universitat de Valencia,2017,551,0.0
University of Pretoria,2017,551,0.0
University of Turin,2017,551,0.0
Universidade de Santiago de Compostela,2017,551,0.0
American University in Dubai,2017,551,0.0
Carleton University,2017,551,0.0
Charles Darwin University ,2017,551,0.0
Chiba University,2017,551,0.0
William & Mary,2017,551,0.0
East China Normal University,2017,551,0.0
Far Eastern Federal University,2017,551,0.0
Flinders University,2017,551,0.0
Howard University,2017,551,0.0
Inha University,2017,551,0.0
Johannes Kepler University Linz,2017,551,0.0
Kagoshima University,2017,551,0.0
Kanazawa University,2017,551,0.0
Keele University ,2017,551,0.0
Kumamoto University,2017,551,0.0
Lanzhou University,2017,551,0.0
National Research Saratov State University,2017,551,0.0
National Taipei University of Technology,2017,551,0.0
"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",2017,551,0.0
Philipps-Universität Marburg ,2017,551,0.0
Universidad Politécnica de Madrid (UPM),2017,551,0.0
Rhodes University ,2017,551,0.0
Sichuan University,2017,551,0.0
South China University of Technology,2017,551,0.0
Southern Federal University,2017,551,0.0
Syracuse University,2017,551,0.0
TU Dortmund University,2017,551,0.0
Tokyo University of Agriculture and Technology ,2017,551,0.0
Università degli Studi di Pavia,2017,551,0.0
University of Bradford,2017,551,0.0
University of Canberra ,2017,551,0.0
University of Cincinnati,2017,551,0.0
University of Hull,2017,551,0.0
University of Jordan,2017,551,0.0
University of Massachusetts Boston,2017,551,0.0
"University of Missouri, Columbia",2017,551,0.0
University of Oregon,2017,551,0.0
University of Science and Technology Beijing,2017,551,0.0
University of South Carolina,2017,551,0.0
University of Tehran,2017,551,0.0
University of Ulsan ,2017,551,0.0
University of Vermont,2017,551,0.0
 Western Sydney University,2017,551,0.0
Universidad de Antioquia,2017,601,0.0
Universidad Nacional de Córdoba - UNC,2017,601,0.0
Universidad de Sevilla,2017,601,0.0
Universidad Católica Andres Bello,2017,601,0.0
Pontificia Universidad Católica de Valparaíso,2017,601,0.0
Universidade de Brasília,2017,601,0.0
Universidad de Concepción,2017,601,0.0
Thammasat University,2017,601,0.0
Bielefeld University,2017,601,0.0
Ajou University ,2017,601,0.0
Bar-Ilan University,2017,601,0.0
Central Queensland University (CQUniversity Australia),2017,601,0.0
Chonnam National University,2017,601,0.0
Clarkson University,2017,601,0.0
Eötvös Loránd University,2017,601,0.0
Hallym University ,2017,601,0.0
Instituto Tecnológico Autónomo de México (ITAM),2017,601,0.0
International Islamic University Malaysia (IIUM),2017,601,0.0
"Lingnan University, Hong Kong",2017,601,0.0
Auezov South Kazakhstan University (SKU),2017,601,0.0
Masaryk University,2017,601,0.0
Middlesex University,2017,601,0.0
The National University of Science and Technology MISIS,2017,601,0.0
The New School,2017,601,0.0
RUDN University,2017,601,0.0
Tallinn University of Technology (TalTech),2017,601,0.0
Universidad de Alcalá,2017,601,0.0
Universidad de Montevideo (UM),2017,601,0.0
Universidad Torcuato Di Tella,2017,601,0.0
Universität Duisburg-Essen,2017,601,0.0
University Duesseldorf,2017,601,0.0
Université de Rennes 1,2017,601,0.0
Université de Sherbrooke,2017,601,0.0
Université Nice Sophia Antipolis,2017,601,0.0
University Paris 2 Panthéon-Assas,2017,601,0.0
Universiti Teknologi PETRONAS (UTP),2017,601,0.0
The University of Alabama,2017,601,0.0
University of Baghdad,2017,601,0.0
University of Houston,2017,601,0.0
University of Johannesburg,2017,601,0.0
University of Ljubljana,2017,601,0.0
University of Mississippi,2017,601,0.0
University of New Hampshire,2017,601,0.0
University of Portsmouth,2017,601,0.0
University of Seoul ,2017,601,0.0
Ulster University,2017,601,0.0
Ural Federal University - UrFU,2017,601,0.0
Warsaw University of Technology,2017,601,0.0
Worcester Polytechnic Institute,2017,601,0.0
Al Imam Mohammad Ibn Saud Islamic University,2017,651,0.0
Beijing University of Technology,2017,651,0.0
Brigham Young University,2017,651,0.0
Brno University of Technology,2017,651,0.0
Comenius University in Bratislava,2017,651,0.0
Coventry University,2017,651,0.0
Technological University Dublin,2017,651,0.0
George Mason University,2017,651,0.0
Gifu University,2017,651,0.0
Istanbul Technical University,2017,651,0.0
Jordan University of Science & Technology,2017,651,0.0
Justus-Liebig-University Giessen,2017,651,0.0
Kazakh-British Technical University,2017,651,0.0
Kyungpook National University,2017,651,0.0
Lebanese American University,2017,651,0.0
London Metropolitan University,2017,651,0.0
Louisiana State University,2017,651,0.0
Maynooth University,2017,651,0.0
Memorial University of Newfoundland,2017,651,0.0
National and Kapodistrian University of Athens,2017,651,0.0
Osaka City University,2017,651,0.0
Osaka Prefecture University ,2017,651,0.0
Palacký University Olomouc,2017,651,0.0
Rutgers University–Newark,2017,651,0.0
"Sofia University ""St. Kliment Ohridski""",2017,651,0.0
Stevens Institute of Technology,2017,651,0.0
Temple University,2017,651,0.0
Universidad Adolfo Ibáñez,2017,651,0.0
Universidad Anáhuac México,2017,651,0.0
Universidad Central de Venezuela,2017,651,0.0
Universidad de La Sabana,2017,651,0.0
University of Salamanca,2017,651,0.0
Universidad Iberoamericana IBERO,2017,651,0.0
Universidade Federal de São Carlos (UFSCar),2017,651,0.0
University of Modena and Reggio Emilia,2017,651,0.0
Universität Rostock,2017,651,0.0
University at Albany SUNY,2017,651,0.0
University of Calcutta,2017,651,0.0
University of Crete,2017,651,0.0
University of Debrecen,2017,651,0.0
University of Denver,2017,651,0.0
University of Haifa,2017,651,0.0
University of Kwazulu-Natal,2017,651,0.0
University of Latvia,2017,651,0.0
University of Milano-Bicocca ,2017,651,0.0
University of Patras,2017,651,0.0
University of Plymouth,2017,651,0.0
University of Sharjah,2017,651,0.0
University of Windsor,2017,651,0.0
University of Zagreb,2017,651,0.0
Victoria University ,2017,651,0.0
Virginia Commonwealth University,2017,651,0.0
Yeungnam University ,2017,651,0.0
Kasetsart University,2017,701,0.0
Universidad Nacional de Rosario (UNR),2017,701,0.0
Abu Dhabi University,2017,701,0.0
Ain Shams University ,2017,701,0.0
Airlangga University,2017,701,0.0
Al-Azhar University,2017,701,0.0
Alexandria University ,2017,701,0.0
Alexandru Ioan Cuza University,2017,701,0.0
University of Klagenfurt,2017,701,0.0
